forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local,publication_type,reconstructed_at_local
CCL-20260718,2026-07-18,2026-07-18T00:00:00+10:00,1,864.6914455286283,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T01:00:00+10:00,2,883.722502637858,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T02:00:00+10:00,3,920.6072111069712,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T03:00:00+10:00,4,935.9165908055442,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T04:00:00+10:00,5,950.748922693288,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T05:00:00+10:00,6,940.2746943070786,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T06:00:00+10:00,7,891.4247261182669,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T07:00:00+10:00,8,832.0584573671621,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T08:00:00+10:00,9,803.6844806819378,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T09:00:00+10:00,10,752.4492349112298,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T10:00:00+10:00,11,725.7900418447326,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T11:00:00+10:00,12,704.6143008905354,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T12:00:00+10:00,13,683.7198835971091,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T13:00:00+10:00,14,692.7397990207857,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T14:00:00+10:00,15,724.7862960697707,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T15:00:00+10:00,16,757.9076656335728,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T16:00:00+10:00,17,759.718913554273,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T17:00:00+10:00,18,721.7641889200949,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T18:00:00+10:00,19,704.9625681336704,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T19:00:00+10:00,20,716.4847209422428,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T20:00:00+10:00,21,745.6103806415292,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T21:00:00+10:00,22,790.6872088885764,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T22:00:00+10:00,23,844.3381342759214,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
CCL-20260718,2026-07-18,2026-07-18T23:00:00+10:00,24,865.259975721644,2026-07-19T11:59:01.437941+10:00,retrospective_backfill,2026-07-19T12:00:12.863455+10:00
