forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260822,2026-08-22,2026-08-22T00:00:00+10:00,1,603.785121856408,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T01:00:00+10:00,2,603.1170265767015,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T02:00:00+10:00,3,602.3764677824901,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T03:00:00+10:00,4,602.3764677824901,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T04:00:00+10:00,5,602.3804403494419,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T05:00:00+10:00,6,606.2664223746435,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T06:00:00+10:00,7,609.8248108788893,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T07:00:00+10:00,8,602.9189923019015,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T08:00:00+10:00,9,595.8152565171912,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T09:00:00+10:00,10,583.8759981777891,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T10:00:00+10:00,11,551.645925022697,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T11:00:00+10:00,12,521.1376643045704,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T12:00:00+10:00,13,510.27480664673925,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T13:00:00+10:00,14,496.7314800942929,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T14:00:00+10:00,15,516.1991472559365,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T15:00:00+10:00,16,558.4427737049459,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T16:00:00+10:00,17,595.1087948204394,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T17:00:00+10:00,18,597.4930497621426,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T18:00:00+10:00,19,588.584800459548,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T19:00:00+10:00,20,595.9588813545935,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T20:00:00+10:00,21,612.3451082372702,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T21:00:00+10:00,22,637.4332703088287,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T22:00:00+10:00,23,658.9385726065467,2026-08-22T07:37:07.278826+10:00
CCL-20260822,2026-08-22,2026-08-22T23:00:00+10:00,24,671.1943115858817,2026-08-22T07:37:07.278826+10:00
