forecast_id,target_date,local_time,forecast_step,intensity_hat,published_at_local
CCL-20260713,2026-07-13,2026-07-13T00:00:00+10:00,1,651.3653090169884,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T01:00:00+10:00,2,632.4586774983882,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T02:00:00+10:00,3,616.1712900820252,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T03:00:00+10:00,4,610.8728588376636,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T04:00:00+10:00,5,611.8166947179793,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T05:00:00+10:00,6,607.636476830214,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T06:00:00+10:00,7,604.5478168148408,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T07:00:00+10:00,8,594.2122956473462,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T08:00:00+10:00,9,582.6547694566136,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T09:00:00+10:00,10,578.1054071775367,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T10:00:00+10:00,11,547.1027751543618,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T11:00:00+10:00,12,510.4630321190943,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T12:00:00+10:00,13,498.8047506367293,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T13:00:00+10:00,14,489.7488210952822,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T14:00:00+10:00,15,507.49953663028094,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T15:00:00+10:00,16,570.4614843505605,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T16:00:00+10:00,17,603.6442093653142,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T17:00:00+10:00,18,631.2765665853876,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T18:00:00+10:00,19,633.3979072467399,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T19:00:00+10:00,20,639.6447251230388,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T20:00:00+10:00,21,653.5374261547648,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T21:00:00+10:00,22,674.0533746368621,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T22:00:00+10:00,23,685.9965970774533,2026-07-16T22:44:27.337737+10:00
CCL-20260713,2026-07-13,2026-07-13T23:00:00+10:00,24,691.983297264629,2026-07-16T22:44:27.337737+10:00
