ts,local_time,intensity,emissions,energy_mwh
2026-04-18 04:00:00+00:00,2026-04-18 14:00:00+10:00,535.537776206805,3299.2638,6160.6556
2026-04-18 05:00:00+00:00,2026-04-18 15:00:00+10:00,572.5278674719096,3513.0709,6136.0697
2026-04-18 06:00:00+00:00,2026-04-18 16:00:00+10:00,693.6590383347271,4372.9565,6304.1873
2026-04-18 07:00:00+00:00,2026-04-18 17:00:00+10:00,745.6913392198982,4810.2652,6450.7457
2026-04-18 08:00:00+00:00,2026-04-18 18:00:00+10:00,772.1557733759598,5239.1624,6785.1107
2026-04-18 09:00:00+00:00,2026-04-18 19:00:00+10:00,759.9798132327903,5275.9102,6942.1715
2026-04-18 10:00:00+00:00,2026-04-18 20:00:00+10:00,769.1296710131552,5281.7662,6867.1986
2026-04-18 11:00:00+00:00,2026-04-18 21:00:00+10:00,801.9409201692446,5287.2681,6593.0893
2026-04-18 12:00:00+00:00,2026-04-18 22:00:00+10:00,888.9480075915026,5270.8516,5929.3137
2026-04-18 13:00:00+00:00,2026-04-18 23:00:00+10:00,921.9925408289454,5275.4217,5721.7618
2026-04-18 14:00:00+00:00,2026-04-19 00:00:00+10:00,913.4909733130818,5273.0912,5772.4612
2026-04-18 15:00:00+00:00,2026-04-19 01:00:00+10:00,954.1750450032011,5272.8733,5526.1069
2026-04-18 16:00:00+00:00,2026-04-19 02:00:00+10:00,1002.3685592258964,5274.3539,5261.8908
2026-04-18 17:00:00+00:00,2026-04-19 03:00:00+10:00,1038.9813809067796,5278.1876,5080.1561
2026-04-18 18:00:00+00:00,2026-04-19 04:00:00+10:00,1041.10071220522,5273.0736,5064.9025
2026-04-18 19:00:00+00:00,2026-04-19 05:00:00+10:00,1009.2451937258184,5275.9766,5227.646
2026-04-18 20:00:00+00:00,2026-04-19 06:00:00+10:00,973.3706025547932,5266.3575,5410.4341
2026-04-18 21:00:00+00:00,2026-04-19 07:00:00+10:00,970.9184661788518,5183.1291,5338.3773
2026-04-18 22:00:00+00:00,2026-04-19 08:00:00+10:00,803.4356597047303,4457.7931,5548.4133
2026-04-18 23:00:00+00:00,2026-04-19 09:00:00+10:00,635.5337781356748,3628.4387,5709.2775
2026-04-19 00:00:00+00:00,2026-04-19 10:00:00+10:00,592.9676917513248,3511.5134,5921.9304
2026-04-19 01:00:00+00:00,2026-04-19 11:00:00+10:00,550.9489387533251,3487.9525,6330.809
2026-04-19 02:00:00+00:00,2026-04-19 12:00:00+10:00,522.5117431500314,3486.4966,6672.5708
2026-04-19 03:00:00+00:00,2026-04-19 13:00:00+10:00,510.15208533162,3486.7411,6834.7091
2026-04-19 04:00:00+00:00,2026-04-19 14:00:00+10:00,534.6825748206328,3531.2191,6604.328
2026-04-19 05:00:00+00:00,2026-04-19 15:00:00+10:00,622.4530347008999,4003.0208,6431.0407
2026-04-19 06:00:00+00:00,2026-04-19 16:00:00+10:00,774.2379426888757,4939.579,6379.9237
2026-04-19 07:00:00+00:00,2026-04-19 17:00:00+10:00,861.4838836290309,5232.5549,6073.886
2026-04-19 08:00:00+00:00,2026-04-19 18:00:00+10:00,806.8547073446969,5277.2387,6540.5068
2026-04-19 09:00:00+00:00,2026-04-19 19:00:00+10:00,792.9974469647468,5278.6561,6656.5865
2026-04-19 10:00:00+00:00,2026-04-19 20:00:00+10:00,858.3490321570836,5276.0982,6146.7981
2026-04-19 11:00:00+00:00,2026-04-19 21:00:00+10:00,894.6231954577239,5255.0383,5874.0242
2026-04-19 12:00:00+00:00,2026-04-19 22:00:00+10:00,917.823626585448,5269.3588,5741.1453
2026-04-19 13:00:00+00:00,2026-04-19 23:00:00+10:00,924.6806798938104,5272.2375,5701.6845
2026-04-19 14:00:00+00:00,2026-04-20 00:00:00+10:00,933.8706458960615,5269.227,5642.3521
2026-04-19 15:00:00+00:00,2026-04-20 01:00:00+10:00,974.3144434801928,5283.3441,5422.6273
2026-04-19 16:00:00+00:00,2026-04-20 02:00:00+10:00,1004.687255753198,5281.2329,5256.5939
2026-04-19 17:00:00+00:00,2026-04-20 03:00:00+10:00,1033.7293046190052,5285.6898,5113.2243
