ts,local_time,intensity,emissions,energy_mwh
2026-09-22 19:00:00+00:00,2026-09-23 05:00:00+10:00,935.607287857489,3977.2663,4250.9997
2026-09-22 20:00:00+00:00,2026-09-23 06:00:00+10:00,837.6327679714493,4764.744,5688.3448
2026-09-22 21:00:00+00:00,2026-09-23 07:00:00+10:00,728.3586915987904,4710.6527,6467.4902
2026-09-22 22:00:00+00:00,2026-09-23 08:00:00+10:00,649.3516211775639,4619.9612,7114.7296
2026-09-22 23:00:00+00:00,2026-09-23 09:00:00+10:00,557.3134902245914,4213.4987,7560.3745
2026-09-23 00:00:00+00:00,2026-09-23 10:00:00+10:00,471.7935322478437,3657.1396,7751.5679
2026-09-23 01:00:00+00:00,2026-09-23 11:00:00+10:00,414.9395689386165,3247.8596,7827.3075
2026-09-23 02:00:00+00:00,2026-09-23 12:00:00+10:00,387.3184193567193,2988.3383,7715.4562
2026-09-23 03:00:00+00:00,2026-09-23 13:00:00+10:00,380.89650563412044,2878.3877,7556.8761
2026-09-23 04:00:00+00:00,2026-09-23 14:00:00+10:00,400.7439123254499,2879.2534,7184.7714
2026-09-23 05:00:00+00:00,2026-09-23 15:00:00+10:00,469.8932108190425,3207.9313,6826.9369
2026-09-23 06:00:00+00:00,2026-09-23 16:00:00+10:00,618.0536750127134,4096.1168,6627.4451
2026-09-23 07:00:00+00:00,2026-09-23 17:00:00+10:00,712.9471330813526,4691.0057,6579.7385
2026-09-23 08:00:00+00:00,2026-09-23 18:00:00+10:00,694.0127026228092,4860.3421,7003.2466
2026-09-23 09:00:00+00:00,2026-09-23 19:00:00+10:00,695.3291355717687,4872.4724,7007.4331
2026-09-23 10:00:00+00:00,2026-09-23 20:00:00+10:00,743.0100164780671,4915.8493,6616.1279
2026-09-23 11:00:00+00:00,2026-09-23 21:00:00+10:00,831.7026504829635,4938.5255,5937.8499
2026-09-23 12:00:00+00:00,2026-09-23 22:00:00+10:00,915.8737036890124,4924.899,5377.2687
2026-09-23 13:00:00+00:00,2026-09-23 23:00:00+10:00,961.9177716999731,4882.6519,5075.9556
2026-09-23 14:00:00+00:00,2026-09-24 00:00:00+10:00,964.1870874675,4880.0968,5061.3588
2026-09-23 15:00:00+00:00,2026-09-24 01:00:00+10:00,930.059415187928,4831.6289,5194.968
2026-09-23 16:00:00+00:00,2026-09-24 02:00:00+10:00,933.9699613973088,4706.6627,5039.4155
2026-09-23 17:00:00+00:00,2026-09-24 03:00:00+10:00,877.0877590146634,4610.2363,5256.2999
2026-09-23 18:00:00+00:00,2026-09-24 04:00:00+10:00,833.2108487433377,4546.0488,5456.0605
2026-09-23 19:00:00+00:00,2026-09-24 05:00:00+10:00,793.1054270936703,4584.2953,5780.184
2026-09-23 20:00:00+00:00,2026-09-24 06:00:00+10:00,765.0852849006254,4587.9424,5996.6418
2026-09-23 21:00:00+00:00,2026-09-24 07:00:00+10:00,595.3176551891441,4328.3628,7270.6777
2026-09-23 22:00:00+00:00,2026-09-24 08:00:00+10:00,434.62326581225466,3477.9004,8002.1036
2026-09-23 23:00:00+00:00,2026-09-24 09:00:00+10:00,403.64048082967076,3251.7883,8056.1501
2026-09-24 00:00:00+00:00,2026-09-24 10:00:00+10:00,365.4303080276656,3143.7388,8602.8409
2026-09-24 01:00:00+00:00,2026-09-24 11:00:00+10:00,346.05456436816223,3043.4204,8794.6258
2026-09-24 02:00:00+00:00,2026-09-24 12:00:00+10:00,349.4838728688746,3024.2884,8653.585
2026-09-24 03:00:00+00:00,2026-09-24 13:00:00+10:00,369.3152090457356,3025.9811,8193.4917
2026-09-24 04:00:00+00:00,2026-09-24 14:00:00+10:00,417.5692433573077,3171.0205,7593.9992
2026-09-24 05:00:00+00:00,2026-09-24 15:00:00+10:00,556.5636979400667,4040.559,7259.8321
2026-09-24 06:00:00+00:00,2026-09-24 16:00:00+10:00,681.2833159122824,4700.9102,6900.0812
2026-09-24 07:00:00+00:00,2026-09-24 17:00:00+10:00,692.9762864685762,4816.1547,6949.956
2026-09-24 08:00:00+00:00,2026-09-24 18:00:00+10:00,663.190378252174,4912.8931,7407.968
2026-09-24 09:00:00+00:00,2026-09-24 19:00:00+10:00,649.8115774582318,4967.9808,7645.2636
2026-09-24 10:00:00+00:00,2026-09-24 20:00:00+10:00,690.3496904296832,4964.9287,7191.904
2026-09-24 11:00:00+00:00,2026-09-24 21:00:00+10:00,771.0732110149823,4969.2615,6444.604
2026-09-24 12:00:00+00:00,2026-09-24 22:00:00+10:00,858.7309061917265,4960.7173,5776.8007
2026-09-24 13:00:00+00:00,2026-09-24 23:00:00+10:00,850.9096698102472,4785.3635,5623.8208
2026-09-24 14:00:00+00:00,2026-09-25 00:00:00+10:00,793.0197053414737,4660.8186,5877.3049
2026-09-24 15:00:00+00:00,2026-09-25 01:00:00+10:00,788.0040622921355,4684.3104,5944.5257
2026-09-24 16:00:00+00:00,2026-09-25 02:00:00+10:00,781.1272264114392,4666.5174,5974.0811
2026-09-24 17:00:00+00:00,2026-09-25 03:00:00+10:00,863.5729667459765,4756.5713,5508.0132
2026-09-24 18:00:00+00:00,2026-09-25 04:00:00+10:00,910.4788756479142,4766.3835,5235.0292
2026-09-24 19:00:00+00:00,2026-09-25 05:00:00+10:00,906.1326555616976,397.5136,438.6925
